Description,Offense,Punishment,Section,preprocessed_description,preprocessed_offense
"Description of IPC Section 264
According to section 264 of Indian penal code, Whoever, fraudulently uses any instrument for weighing which he knows to be false, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 264 in Simple Words
According to section 264 of the Indian Penal Code, anyone who knowingly uses a false weighing instrument fraudulently can be punished with imprisonment up to one year or with a fine or both.",Fraudulent use of false instrument for weighing,1 Year or Fine or Both,IPC_264,"['description', 'ipc', 'section', '264', 'according', 'section', '264', 'indian', 'penal', 'code', ',', 'whoever', ',', 'fraudulently', 'uses', 'instrument', 'weighing', 'knows', 'false', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'one', 'year', ',', 'fine', ',', '.', 'ipc', '264', 'simple', 'words', 'according', 'section', '264', 'indian', 'penal', 'code', ',', 'anyone', 'knowingly', 'uses', 'false', 'weighing', 'instrument', 'fraudulently', 'punished', 'imprisonment', 'one', 'year', 'fine', '.']","['fraudulent', 'use', 'false', 'instrument', 'weighing']"
"Description of IPC Section 265
According to section 265 of Indian penal code, Whoever, fraudulently uses any false weight or false measure of length or capacity, or fraudulently uses any weight or any measure of length or capacity as a different weight or measure from what it is, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 265 in Simple Words
According to section 265 of the Indian Penal Code, anyone who fraudulently uses a false weight or measure, or uses a weight or measure in a way different from its actual value, can be punished with imprisonment up to one year or with a fine or both.",Fraudulent use of false weight or measure,1 Year or Fine or Both,IPC_265,"['description', 'ipc', 'section', '265', 'according', 'section', '265', 'indian', 'penal', 'code', ',', 'whoever', ',', 'fraudulently', 'uses', 'false', 'weight', 'false', 'measure', 'length', 'capacity', ',', 'fraudulently', 'uses', 'weight', 'measure', 'length', 'capacity', 'different', 'weight', 'measure', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'one', 'year', ',', 'fine', ',', '.', 'ipc', '265', 'simple', 'words', 'according', 'section', '265', 'indian', 'penal', 'code', ',', 'anyone', 'fraudulently', 'uses', 'false', 'weight', 'measure', ',', 'uses', 'weight', 'measure', 'way', 'different', 'actual', 'value', ',', 'punished', 'imprisonment', 'one', 'year', 'fine', '.']","['fraudulent', 'use', 'false', 'weight', 'measure']"
"Description of IPC Section 266
According to section 266 of Indian penal code, Whoever is in possession of any instrument for weighing, or of any weight, or of any measure of length or capacity, which he knows to be false, intending that the same may be fraudulently used, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 266 in Simple Words
According to section 266 of the Indian Penal Code, if someone possesses a false weighing instrument, weight, or measure with the intention of using it fraudulently, they can be punished with imprisonment up to one year or with a fine or both.",Being in possession of false weights or measures for fraudulent use,1 Year or Fine or Both,IPC_266,"['description', 'ipc', 'section', '266', 'according', 'section', '266', 'indian', 'penal', 'code', ',', 'whoever', 'possession', 'instrument', 'weighing', ',', 'weight', ',', 'measure', 'length', 'capacity', ',', 'knows', 'false', ',', 'intending', 'may', 'fraudulently', 'used', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'one', 'year', ',', 'fine', ',', '.', 'ipc', '266', 'simple', 'words', 'according', 'section', '266', 'indian', 'penal', 'code', ',', 'someone', 'possesses', 'false', 'weighing', 'instrument', ',', 'weight', ',', 'measure', 'intention', 'using', 'fraudulently', ',', 'punished', 'imprisonment', 'one', 'year', 'fine', '.']","['possession', 'false', 'weights', 'measures', 'fraudulent', 'use']"
"Description of IPC Section 267
According to section 267 of Indian penal code, Whoever makes, sells or disposes of any instrument for weighing, or any weight, or any measure of length or capacity which he knows to be false, in order that the same may be used as true, or knowing that the same is likely to be used as true, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 267 in Simple Words
According to section 267 of the Indian Penal Code, anyone who knowingly makes, sells, or uses false weighing instruments, weights, or measures that are intended to be used as genuine or likely to be used as such, can be punished with imprisonment up to one year or with a fine or both.",Making or selling false weights or measures for fraudulent use,1 Year or Fine or Both,IPC_267,"['description', 'ipc', 'section', '267', 'according', 'section', '267', 'indian', 'penal', 'code', ',', 'whoever', 'makes', ',', 'sells', 'disposes', 'instrument', 'weighing', ',', 'weight', ',', 'measure', 'length', 'capacity', 'knows', 'false', ',', 'order', 'may', 'used', 'true', ',', 'knowing', 'likely', 'used', 'true', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'one', 'year', ',', 'fine', ',', '.', 'ipc', '267', 'simple', 'words', 'according', 'section', '267', 'indian', 'penal', 'code', ',', 'anyone', 'knowingly', 'makes', ',', 'sells', ',', 'uses', 'false', 'weighing', 'instruments', ',', 'weights', ',', 'measures', 'intended', 'used', 'genuine', 'likely', 'used', ',', 'punished', 'imprisonment', 'one', 'year', 'fine', '.']","['making', 'selling', 'false', 'weights', 'measures', 'fraudulent', 'use']"
"Description of IPC Section 268
According to section 268 of Indian penal code, A person is guilty of a public nuisance who does any act or is guilty of an illegal omission which causes any common injury, danger or annoyance to the public or to the people in general who dwell or occupy property in the vicinity, or which must necessarily cause injury, obstruction, danger or annoyance to persons who may have occasion to use any public right.
A common nuisance is not excused on the ground that it causes some convenience or advantage.


IPC 268 in Simple Words
According to section 268 of the Indian Penal Code, a person is guilty of a public nuisance if they do anything that causes harm, danger, or annoyance to the public or people living nearby, and such a nuisance cannot be excused even if it brings some convenience or advantage.",,,IPC_268,"['description', 'ipc', 'section', '268', 'according', 'section', '268', 'indian', 'penal', 'code', ',', 'person', 'guilty', 'public', 'nuisance', 'act', 'guilty', 'illegal', 'omission', 'causes', 'common', 'injury', ',', 'danger', 'annoyance', 'public', 'people', 'general', 'dwell', 'occupy', 'property', 'vicinity', ',', 'must', 'necessarily', 'cause', 'injury', ',', 'obstruction', ',', 'danger', 'annoyance', 'persons', 'may', 'occasion', 'use', 'public', 'right', '.', 'common', 'nuisance', 'excused', 'ground', 'causes', 'convenience', 'advantage', '.', 'ipc', '268', 'simple', 'words', 'according', 'section', '268', 'indian', 'penal', 'code', ',', 'person', 'guilty', 'public', 'nuisance', 'anything', 'causes', 'harm', ',', 'danger', ',', 'annoyance', 'public', 'people', 'living', 'nearby', ',', 'nuisance', 'excused', 'even', 'brings', 'convenience', 'advantage', '.']",[]
"Description of IPC Section 269
According to section 269 of Indian penal code, Whoever unlawfully or negligently does any act which is, and which he knows or has reason to believe to be, likely to spread the infection of any disease dangerous to life, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.


IPC 269 in Simple Words
According to section 269 of the Indian Penal Code, if anyone unlawfully or negligently does an act that can spread a dangerous disease, they can be punished with imprisonment for up to six months, or with a fine, or both.",Negligently doing any act known to be likely to spread infection of any disease dangerous to life,6 Months or Fine or Both,IPC_269,"['description', 'ipc', 'section', '269', 'according', 'section', '269', 'indian', 'penal', 'code', ',', 'whoever', 'unlawfully', 'negligently', 'act', ',', 'knows', 'reason', 'believe', ',', 'likely', 'spread', 'infection', 'disease', 'dangerous', 'life', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'six', 'months', ',', 'fine', ',', '.', 'ipc', '269', 'simple', 'words', 'according', 'section', '269', 'indian', 'penal', 'code', ',', 'anyone', 'unlawfully', 'negligently', 'act', 'spread', 'dangerous', 'disease', ',', 'punished', 'imprisonment', 'six', 'months', ',', 'fine', ',', '.']","['negligently', 'act', 'known', 'likely', 'spread', 'infection', 'disease', 'dangerous', 'life']"
"Description of IPC Section 270
According to section 270 of Indian penal code, Whoever malignantly does any act which is, and which he knows or has reason to believe to be, likely to spread the infection of any disease dangerous to life, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 270 in Simple Words
According to section 270 of the Indian Penal Code, if anyone knowingly does an act that can spread a dangerous disease, they can be punished with imprisonment for up to two years, or with a fine, or both.",Malignantly doing any act known to be likely to spread infection of any disease dangerous to life,2 Years or Fine or Both,IPC_270,"['description', 'ipc', 'section', '270', 'according', 'section', '270', 'indian', 'penal', 'code', ',', 'whoever', 'malignantly', 'act', ',', 'knows', 'reason', 'believe', ',', 'likely', 'spread', 'infection', 'disease', 'dangerous', 'life', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'two', 'years', ',', 'fine', ',', '.', 'ipc', '270', 'simple', 'words', 'according', 'section', '270', 'indian', 'penal', 'code', ',', 'anyone', 'knowingly', 'act', 'spread', 'dangerous', 'disease', ',', 'punished', 'imprisonment', 'two', 'years', ',', 'fine', ',', '.']","['malignantly', 'act', 'known', 'likely', 'spread', 'infection', 'disease', 'dangerous', 'life']"
"Description of IPC Section 271
According to section 271 of Indian penal code, Whoever knowingly disobeys any rule made and promulgated by the Government for putting any vessel into a state of quarantine, or for regulating the intercourse of vessels in a state of quarantine with the shore or with other vessels, for regulating the intercourse between places where an infectious disease prevails and other places, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.


IPC 271 in Simple Words
According to section 271 of the Indian Penal Code, if anyone knowingly disobeys any government rule related to quarantining vessels or regulating the interaction between places with infectious diseases, they can be punished with imprisonment for up to six months, or with a fine, or both.",Knowingly disobeying any quarantine rule,6 Months or Fine or Both,IPC_271,"['description', 'ipc', 'section', '271', 'according', 'section', '271', 'indian', 'penal', 'code', ',', 'whoever', 'knowingly', 'disobeys', 'rule', 'made', 'promulgated', 'government', 'putting', 'vessel', 'state', 'quarantine', ',', 'regulating', 'intercourse', 'vessels', 'state', 'quarantine', 'shore', 'vessels', ',', 'regulating', 'intercourse', 'places', 'infectious', 'disease', 'prevails', 'places', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'six', 'months', ',', 'fine', ',', '.', 'ipc', '271', 'simple', 'words', 'according', 'section', '271', 'indian', 'penal', 'code', ',', 'anyone', 'knowingly', 'disobeys', 'government', 'rule', 'related', 'quarantining', 'vessels', 'regulating', 'interaction', 'places', 'infectious', 'diseases', ',', 'punished', 'imprisonment', 'six', 'months', ',', 'fine', ',', '.']","['knowingly', 'disobeying', 'quarantine', 'rule']"
"Description of IPC Section 272
According to section 272 of Indian penal code, Whoever adulterates any article of food or drink, so as to make such article noxious as food or drink, intending to sell such article as food or drink, or knowing it to be likely that the same will be sold as food or drink, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 272 in Simple Words
According to section 272 of the Indian Penal Code, if anyone intentionally adulterates any food or drink item to make it harmful and intends to sell it or knows it will be sold, they can be punished with imprisonment for up to six months, or a fine of up to one thousand rupees, or both.","Adulterating food or drink intended for sale, so as to make the same noxious",6 Months or Fine or Both,IPC_272,"['description', 'ipc', 'section', '272', 'according', 'section', '272', 'indian', 'penal', 'code', ',', 'whoever', 'adulterates', 'article', 'food', 'drink', ',', 'make', 'article', 'noxious', 'food', 'drink', ',', 'intending', 'sell', 'article', 'food', 'drink', ',', 'knowing', 'likely', 'sold', 'food', 'drink', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'six', 'months', ',', 'fine', 'may', 'extend', 'one', 'thousand', 'rupees', ',', '.', 'ipc', '272', 'simple', 'words', 'according', 'section', '272', 'indian', 'penal', 'code', ',', 'anyone', 'intentionally', 'adulterates', 'food', 'drink', 'item', 'make', 'harmful', 'intends', 'sell', 'knows', 'sold', ',', 'punished', 'imprisonment', 'six', 'months', ',', 'fine', 'one', 'thousand', 'rupees', ',', '.']","['adulterating', 'food', 'drink', 'intended', 'sale', ',', 'make', 'noxious']"
"Description of IPC Section 273
According to section 273 of Indian penal code, Whoever sells, or offers or exposes for sale, as food or drink, any article which has been rendered or has become noxious, or is in a state unfit for food or drink, knowing or having reason to believe that the same is noxious as food or drink, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 273 in Simple Words
According to section 273 of the Indian Penal Code, if anyone knowingly sells or offers for sale any article as food or drink that is harmful or unfit for consumption, they can be punished with imprisonment for up to six months, or a fine of up to one thousand rupees, or both.","Selling any food or drink as food and drink, knowing the same to be noxious",6 Months or Fine or Both,IPC_273,"['description', 'ipc', 'section', '273', 'according', 'section', '273', 'indian', 'penal', 'code', ',', 'whoever', 'sells', ',', 'offers', 'exposes', 'sale', ',', 'food', 'drink', ',', 'article', 'rendered', 'become', 'noxious', ',', 'state', 'unfit', 'food', 'drink', ',', 'knowing', 'reason', 'believe', 'noxious', 'food', 'drink', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'six', 'months', ',', 'fine', 'may', 'extend', 'one', 'thousand', 'rupees', ',', '.', 'ipc', '273', 'simple', 'words', 'according', 'section', '273', 'indian', 'penal', 'code', ',', 'anyone', 'knowingly', 'sells', 'offers', 'sale', 'article', 'food', 'drink', 'harmful', 'unfit', 'consumption', ',', 'punished', 'imprisonment', 'six', 'months', ',', 'fine', 'one', 'thousand', 'rupees', ',', '.']","['selling', 'food', 'drink', 'food', 'drink', ',', 'knowing', 'noxious']"
"Description of IPC Section 274
According to section 274 of Indian penal code, Whoever adulterates any drug or medical preparation in such a manner as to lessen the efficacy or change the operation of such drug or medical preparation, or to make it noxious, intending that it shall be sold or used for, or knowing it to be likely that it will be sold or used for, any medicinal purpose, as it had not undergone such adulteration, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 274 in Simple Words
According to section 274 of the Indian Penal Code, if anyone intentionally adulterates a drug or medical preparation to reduce its effectiveness or make it harmful, with the intention of selling it for medicinal purposes, they can be punished with imprisonment for up to six months, or a fine of up to one thousand rupees, or both.","Adulterating any drug or medical preparation intended for sale so as to lessen its efficacy, or to change its operation, or to make it noxious",6 Months or Fine or Both,IPC_274,"['description', 'ipc', 'section', '274', 'according', 'section', '274', 'indian', 'penal', 'code', ',', 'whoever', 'adulterates', 'drug', 'medical', 'preparation', 'manner', 'lessen', 'efficacy', 'change', 'operation', 'drug', 'medical', 'preparation', ',', 'make', 'noxious', ',', 'intending', 'shall', 'sold', 'used', ',', 'knowing', 'likely', 'sold', 'used', ',', 'medicinal', 'purpose', ',', 'undergone', 'adulteration', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'six', 'months', ',', 'fine', 'may', 'extend', 'one', 'thousand', 'rupees', ',', '.', 'ipc', '274', 'simple', 'words', 'according', 'section', '274', 'indian', 'penal', 'code', ',', 'anyone', 'intentionally', 'adulterates', 'drug', 'medical', 'preparation', 'reduce', 'effectiveness', 'make', 'harmful', ',', 'intention', 'selling', 'medicinal', 'purposes', ',', 'punished', 'imprisonment', 'six', 'months', ',', 'fine', 'one', 'thousand', 'rupees', ',', '.']","['adulterating', 'drug', 'medical', 'preparation', 'intended', 'sale', 'lessen', 'efficacy', ',', 'change', 'operation', ',', 'make', 'noxious']"
"Description of IPC Section 275
According to section 275 of Indian penal code, Whoever, knowing any drug or medical preparation to have been adulterated in such a manner as to lessen its efficacy, to change its operation, or to render it noxious, sells the same, or offers or exposes it for sale, or issues it from any dispensary for medicinal purposes as unadulterated, or causes it to be used for medicinal purposes by any person not knowing of the adulteration, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 275 in Simple Words
According to section 275 of the Indian Penal Code, if anyone knowingly sells or offers adulterated drugs or medical preparations as unadulterated, they can be punished with imprisonment for up to six months, or a fine of up to one thousand rupees, or both.",Offering for sale or issuing from a dispensary any drug or medical preparation known to have been adulterated,6 Months or Fine or Both,IPC_275,"['description', 'ipc', 'section', '275', 'according', 'section', '275', 'indian', 'penal', 'code', ',', 'whoever', ',', 'knowing', 'drug', 'medical', 'preparation', 'adulterated', 'manner', 'lessen', 'efficacy', ',', 'change', 'operation', ',', 'render', 'noxious', ',', 'sells', ',', 'offers', 'exposes', 'sale', ',', 'issues', 'dispensary', 'medicinal', 'purposes', 'unadulterated', ',', 'causes', 'used', 'medicinal', 'purposes', 'person', 'knowing', 'adulteration', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'six', 'months', ',', 'fine', 'may', 'extend', 'one', 'thousand', 'rupees', ',', '.', 'ipc', '275', 'simple', 'words', 'according', 'section', '275', 'indian', 'penal', 'code', ',', 'anyone', 'knowingly', 'sells', 'offers', 'adulterated', 'drugs', 'medical', 'preparations', 'unadulterated', ',', 'punished', 'imprisonment', 'six', 'months', ',', 'fine', 'one', 'thousand', 'rupees', ',', '.']","['offering', 'sale', 'issuing', 'dispensary', 'drug', 'medical', 'preparation', 'known', 'adulterated']"
"Description of IPC Section 276
According to section 276 of Indian penal code, Whoever knowingly sells, or offers or exposes for sale, or issues from a dispensary for medicinal purposes, any drug or medical preparation, as a different drug or medical preparation, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 276 in Simple Words
According to section 276 of the Indian Penal Code, if anyone knowingly sells or offers a drug or medical preparation as a different one, they can be punished with imprisonment for up to six months, or a fine of up to one thousand rupees, or both.",Knowingly selling or issuing from a dispensary any drug or medical preparation as a different drug or medical preparation,6 Months or Fine or Both,IPC_276,"['description', 'ipc', 'section', '276', 'according', 'section', '276', 'indian', 'penal', 'code', ',', 'whoever', 'knowingly', 'sells', ',', 'offers', 'exposes', 'sale', ',', 'issues', 'dispensary', 'medicinal', 'purposes', ',', 'drug', 'medical', 'preparation', ',', 'different', 'drug', 'medical', 'preparation', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'six', 'months', ',', 'fine', 'may', 'extend', 'one', 'thousand', 'rupees', ',', '.', 'ipc', '276', 'simple', 'words', 'according', 'section', '276', 'indian', 'penal', 'code', ',', 'anyone', 'knowingly', 'sells', 'offers', 'drug', 'medical', 'preparation', 'different', 'one', ',', 'punished', 'imprisonment', 'six', 'months', ',', 'fine', 'one', 'thousand', 'rupees', ',', '.']","['knowingly', 'selling', 'issuing', 'dispensary', 'drug', 'medical', 'preparation', 'different', 'drug', 'medical', 'preparation']"
"Description of IPC Section 277
According to section 277 of Indian penal code, Whoever voluntarily corrupts or fouls the water of any public spring or reservoir, so as to render it less fit for the purpose for which it is ordinarily used, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.


IPC 277 in Simple Words
According to section 277 of the Indian Penal Code, if anyone intentionally pollutes or makes impure the water of a public spring or reservoir, making it less suitable for its usual purpose, they can be punished with imprisonment for up to three months or a fine of up to five hundred rupees, or both.",Defiling the water of a public spring or reservoir,3 Months or Fine or Both,IPC_277,"['description', 'ipc', 'section', '277', 'according', 'section', '277', 'indian', 'penal', 'code', ',', 'whoever', 'voluntarily', 'corrupts', 'fouls', 'water', 'public', 'spring', 'reservoir', ',', 'render', 'less', 'fit', 'purpose', 'ordinarily', 'used', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'three', 'months', ',', 'fine', 'may', 'extend', 'five', 'hundred', 'rupees', ',', '.', 'ipc', '277', 'simple', 'words', 'according', 'section', '277', 'indian', 'penal', 'code', ',', 'anyone', 'intentionally', 'pollutes', 'makes', 'impure', 'water', 'public', 'spring', 'reservoir', ',', 'making', 'less', 'suitable', 'usual', 'purpose', ',', 'punished', 'imprisonment', 'three', 'months', 'fine', 'five', 'hundred', 'rupees', ',', '.']","['defiling', 'water', 'public', 'spring', 'reservoir']"
"Description of IPC Section 278
According to section 278 of Indian penal code, Whoever voluntarily vitiates the atmosphere in any place so as to make it noxious to the health of persons in general dwelling or carrying on business in the neighborhood or passing along a public way, shall be punished with fine which may extend to five hundred rupees.


IPC 278 in Simple Words
According to section 278 of the Indian Penal Code, if anyone intentionally pollutes the air in a way that is harmful to the health of people living or working nearby, or those passing through a public area, they can be fined up to five hundred rupees.",Making atmosphere noxious to health,Fine,IPC_278,"['description', 'ipc', 'section', '278', 'according', 'section', '278', 'indian', 'penal', 'code', ',', 'whoever', 'voluntarily', 'vitiates', 'atmosphere', 'place', 'make', 'noxious', 'health', 'persons', 'general', 'dwelling', 'carrying', 'business', 'neighborhood', 'passing', 'along', 'public', 'way', ',', 'shall', 'punished', 'fine', 'may', 'extend', 'five', 'hundred', 'rupees', '.', 'ipc', '278', 'simple', 'words', 'according', 'section', '278', 'indian', 'penal', 'code', ',', 'anyone', 'intentionally', 'pollutes', 'air', 'way', 'harmful', 'health', 'people', 'living', 'working', 'nearby', ',', 'passing', 'public', 'area', ',', 'fined', 'five', 'hundred', 'rupees', '.']","['making', 'atmosphere', 'noxious', 'health']"
"Description of IPC Section 279
According to section 279 of Indian penal code, Whoever drives any vehicle, or rides, on any public way in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 279 in Simple Words
According to section 279 of the Indian Penal Code, if anyone drives a vehicle or rides on a public road recklessly or negligently, endangering human life or causing harm to others, they can be punished with imprisonment for up to six months, or a fine, or both.","Driving or riding on a public way so rashly or negligently as to endanger human life, etc.",6 Months or Fine or Both,IPC_279,"['description', 'ipc', 'section', '279', 'according', 'section', '279', 'indian', 'penal', 'code', ',', 'whoever', 'drives', 'vehicle', ',', 'rides', ',', 'public', 'way', 'manner', 'rash', 'negligent', 'endanger', 'human', 'life', ',', 'likely', 'cause', 'hurt', 'injury', 'person', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'six', 'months', ',', 'fine', 'may', 'extend', 'one', 'thousand', 'rupees', ',', '.', 'ipc', '279', 'simple', 'words', 'according', 'section', '279', 'indian', 'penal', 'code', ',', 'anyone', 'drives', 'vehicle', 'rides', 'public', 'road', 'recklessly', 'negligently', ',', 'endangering', 'human', 'life', 'causing', 'harm', 'others', ',', 'punished', 'imprisonment', 'six', 'months', ',', 'fine', ',', '.']","['driving', 'riding', 'public', 'way', 'rashly', 'negligently', 'endanger', 'human', 'life', ',', 'etc', '.']"
"Description of IPC Section 280
According to section 280 of Indian penal code, Whoever navigates any vessel in a manner so rash or negligent to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 280 in Simple Words
According to section 280 of the Indian Penal Code, if anyone navigates a vessel in a reckless or negligent manner endangering human life or causing harm to others, they can be punished with imprisonment for up to six months, or a fine, or both.","Navigating any vessel so rashly or negligently as to endanger human life, etc.",6 Months or Fine or Both,IPC_280,"['description', 'ipc', 'section', '280', 'according', 'section', '280', 'indian', 'penal', 'code', ',', 'whoever', 'navigates', 'vessel', 'manner', 'rash', 'negligent', 'endanger', 'human', 'life', ',', 'likely', 'cause', 'hurt', 'injury', 'person', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'six', 'months', ',', 'fine', 'may', 'extend', 'one', 'thousand', 'rupees', ',', '.', 'ipc', '280', 'simple', 'words', 'according', 'section', '280', 'indian', 'penal', 'code', ',', 'anyone', 'navigates', 'vessel', 'reckless', 'negligent', 'manner', 'endangering', 'human', 'life', 'causing', 'harm', 'others', ',', 'punished', 'imprisonment', 'six', 'months', ',', 'fine', ',', '.']","['navigating', 'vessel', 'rashly', 'negligently', 'endanger', 'human', 'life', ',', 'etc', '.']"
"Description of IPC Section 281
According to section 281 of Indian penal code, Whoever exhibits any false light, mark or buoy, intending or knowing it to be likely that such exhibition will mislead any navigator, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.


IPC 281 in Simple Words
According to section 281 of the Indian Penal Code, if anyone displays a false light, mark, or buoy with the intention to mislead navigators, they can be punished with imprisonment for up to seven years, or a fine, or both.","Exhibition of a false light, mark or buoy",7 Years or Fine or Both,IPC_281,"['description', 'ipc', 'section', '281', 'according', 'section', '281', 'indian', 'penal', 'code', ',', 'whoever', 'exhibits', 'false', 'light', ',', 'mark', 'buoy', ',', 'intending', 'knowing', 'likely', 'exhibition', 'mislead', 'navigator', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'seven', 'years', ',', 'fine', ',', '.', 'ipc', '281', 'simple', 'words', 'according', 'section', '281', 'indian', 'penal', 'code', ',', 'anyone', 'displays', 'false', 'light', ',', 'mark', ',', 'buoy', 'intention', 'mislead', 'navigators', ',', 'punished', 'imprisonment', 'seven', 'years', ',', 'fine', ',', '.']","['exhibition', 'false', 'light', ',', 'mark', 'buoy']"
"Description of IPC Section 282
According to section 282 of Indian penal code, Whoever knowingly or negligently conveys, or causes to be conveyed for hire, any person by water in any vessel, when that vessel is in such a state or so loaded as to endanger the life of that person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 282 in Simple Words
According to section 282 of the Indian Penal Code, if someone knowingly or negligently transports any person by water in a vessel that is in an unsafe state or overloaded, they can be punished with imprisonment for up to six months, or a fine of up to one thousand rupees, or both.","Conveying for hire any person by water, in a vessel in such a state, or so loaded, as to endanger his life",6 Months or Fine or Both,IPC_282,"['description', 'ipc', 'section', '282', 'according', 'section', '282', 'indian', 'penal', 'code', ',', 'whoever', 'knowingly', 'negligently', 'conveys', ',', 'causes', 'conveyed', 'hire', ',', 'person', 'water', 'vessel', ',', 'vessel', 'state', 'loaded', 'endanger', 'life', 'person', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'six', 'months', ',', 'fine', 'may', 'extend', 'one', 'thousand', 'rupees', ',', '.', 'ipc', '282', 'simple', 'words', 'according', 'section', '282', 'indian', 'penal', 'code', ',', 'someone', 'knowingly', 'negligently', 'transports', 'person', 'water', 'vessel', 'unsafe', 'state', 'overloaded', ',', 'punished', 'imprisonment', 'six', 'months', ',', 'fine', 'one', 'thousand', 'rupees', ',', '.']","['conveying', 'hire', 'person', 'water', ',', 'vessel', 'state', ',', 'loaded', ',', 'endanger', 'life']"
"Description of IPC Section 283
According to section 283 of Indian penal code, Whoever, by doing any act, or by omitting to take order with any property in his possession or under his charge, causes danger, obstruction or injury to any person in any public way or public line of navigation, shall be punished, with fine which may extend to two hundred rupees.


IPC 283 in Simple Words
According to section 283 of the Indian Penal Code, if someone's actions or negligence with any property under their control cause danger, obstruction, or injury to any person in a public place or waterway, they can be punished with a fine of up to two hundred rupees.","Causing danger, obstruction or, injury in any public way or line of navigation",Fine,IPC_283,"['description', 'ipc', 'section', '283', 'according', 'section', '283', 'indian', 'penal', 'code', ',', 'whoever', ',', 'act', ',', 'omitting', 'take', 'order', 'property', 'possession', 'charge', ',', 'causes', 'danger', ',', 'obstruction', 'injury', 'person', 'public', 'way', 'public', 'line', 'navigation', ',', 'shall', 'punished', ',', 'fine', 'may', 'extend', 'two', 'hundred', 'rupees', '.', 'ipc', '283', 'simple', 'words', 'according', 'section', '283', 'indian', 'penal', 'code', ',', 'someone', ""'s"", 'actions', 'negligence', 'property', 'control', 'cause', 'danger', ',', 'obstruction', ',', 'injury', 'person', 'public', 'place', 'waterway', ',', 'punished', 'fine', 'two', 'hundred', 'rupees', '.']","['causing', 'danger', ',', 'obstruction', ',', 'injury', 'public', 'way', 'line', 'navigation']"
